,Unnamed: 0,date,open,high,low,close,trading_volume,trading_value,code
276495,204,2017-11-03,83400,84500,81900,84400,4050123,337348445900,000660
276496,205,2017-11-06,83600,84100,83000,83500,3131468,261569393400,000660
276497,206,2017-11-07,82800,83300,82200,82400,2993945,247145977200,000660
276498,207,2017-11-08,82100,84400,81800,83200,3396387,283884157100,000660
276499,208,2017-11-09,83200,83500,81600,82400,3748489,308429919200,000660
276500,209,2017-11-10,81300,82800,81000,82000,2357772,193577873500,000660
276501,210,2017-11-13,82000,83100,81800,82300,2955651,243371458300,000660
276502,211,2017-11-14,83000,84500,82900,83400,3399976,284025290600,000660
276503,212,2017-11-15,83800,84200,81900,82000,3207872,265091390700,000660
276504,213,2017-11-16,82300,82800,81200,82500,3053355,250787561500,000660
276505,214,2017-11-17,83300,84800,83000,83000,4339090,362775855390,000660
276506,215,2017-11-20,83300,83300,81800,82100,2988991,246424623100,000660
276507,216,2017-11-21,83200,85000,82800,85000,5540888,466928386800,000660
276508,217,2017-11-22,86500,87700,86100,86800,4592670,399212701900,000660
276509,218,2017-11-23,86200,86300,84500,84700,2840382,242064414800,000660
276510,219,2017-11-24,84500,85400,83900,85100,2073899,175597705100,000660
276511,220,2017-11-27,86000,86700,82000,83100,7105679,593412377000,000660
276512,221,2017-11-28,82900,83600,81200,82600,4083144,335956958400,000660
276513,222,2017-11-29,82900,83000,82100,82400,2418748,199668865000,000660
276514,223,2017-11-30,77000,79600,76800,76800,11213748,873084585860,000660
276515,224,2017-12-01,77200,78800,77100,77400,4340592,337025316000,000660
276516,225,2017-12-04,77600,79200,76800,79100,4115752,321366491100,000660
276517,226,2017-12-05,77600,79300,77100,77900,3736568,291407231240,000660
276518,227,2017-12-06,78700,79500,77200,77500,3934238,307971185400,000660
276519,228,2017-12-07,78300,78300,75600,76000,5166136,395375589600,000660
276520,229,2017-12-08,77500,78900,76900,78700,3660716,285431726000,000660
276521,230,2017-12-11,79000,79500,78000,78700,2493176,196326959260,000660
276522,231,2017-12-12,79000,79000,77100,77800,3746347,291496663800,000660
276523,232,2017-12-13,77400,77500,76200,76800,3485920,267386058800,000660
276524,233,2017-12-14,77200,77600,76000,76000,5552560,425703238700,000660
276525,234,2017-12-15,77100,77400,75600,75700,3374982,257081381690,000660
276526,235,2017-12-18,76200,77300,75900,77200,3237589,248538131200,000660
276527,236,2017-12-19,78400,80800,78200,80200,6782210,540014323400,000660
276528,237,2017-12-20,80900,81600,79900,80100,4375810,353497856300,000660
276529,238,2017-12-21,80200,80600,76900,77000,4831110,375893627500,000660
276530,239,2017-12-22,76400,77400,76300,76700,3382954,259843230800,000660
276531,240,2017-12-26,76600,76900,74000,74000,6253943,470523261600,000660
276532,241,2017-12-27,75400,76400,74400,75100,4291492,322814111000,000660
276533,242,2017-12-28,75400,76700,75200,76500,2825939,215222986400,000660
277428,0,2018-01-02,77300,77300,76200,76600,2014838,154679174100,000660
277429,1,2018-01-03,78100,78800,77300,77700,3097644,241244828900,000660
277430,2,2018-01-04,78700,79700,77100,77100,3729328,293227509500,000660
277431,3,2018-01-05,78400,79400,78300,79300,3395065,268302301700,000660
277432,4,2018-01-08,79500,80000,77400,78200,2960495,231534855000,000660
277433,5,2018-01-09,78300,78900,76300,76900,3343874,259263770300,000660
277434,6,2018-01-10,76700,76700,72500,72900,9123901,671241841100,000660
277435,7,2018-01-11,73200,73800,72000,72600,3777867,275483451450,000660
277436,8,2018-01-12,73300,74500,72000,74400,5659087,413385561900,000660
277437,9,2018-01-15,73700,74100,72500,72700,3541267,258241437270,000660
